1	404-1	Ubos	Spondias mombin		457825,75	8654316,08	95	20		
2	404-2	Requia	Guarea guidonia		457829,02	8654309,17	85	21		
3	404-3	Chimicua	Pseudolmedia laevis		457829,02	8654309,17	25	18		
4	404-4	Manchinga	Brosimun alicastrum		457824,41	8654312,28	140	25		
5	404-5	Cedro	Cedrela odorata		457815,03	8654325,11	25	23		
6	404-6	Ocuera	Oliganthes discolor		457818,49	8654321,93	60	23		
7	404-7	Shimbillo	Inga longipes		457808,31	8654335,16	30	23		
8	404-8	Sapote	Quararibea cordata		457818,83	8654354,66	40	23		
9	404-9	Chimicua	Pseudolmedia laevis		457803,20	8654345,28	50	23		
10	404-10	Moena	Aniba amazonica		457805,81	8654332,85	120	25		
11	404-11	Fariña seca	Celtis schippii		457805,81	8654332,85	100	23		
12	404-12	Moena	Aniba amazonica		457800,46	8654326,32	70	23		
13	404-13	Fariña seca	Celtis schippii		457805,83	8654340,65	35	21		
14	404-14	Shimbillo	Inga longipes		457805,83	8654340,65	75	21		
15	404-15	Peine de mono	Apeiba membranacea		457805,84	8654360,39	35	21		
16	404-16	Sapote	Quararibea cordata		457813,76	8654370,66	40	21		
17	404-17	Bolaina	Guazuma crinita		457813,76	8654370,66	40	23		
18	404-18	Renaco	Ficus trigona		457815,49	8654400,61	100	20		
19	404-19	Caimito	Pouteria caimito		457815,49	8654400,61	25	21		
20	404-20	Caimito	Pouteria caimito		457829,31	8654390,00	25	21		
21	404-21	Remo caspi	Aspidosperma excelsum		457833,82	8654399,33	100	23		
22	404-22	Fariña seca	Celtis schippii		457834,46	8654380,59	35	21		
23	404-23	Moena negra	Nectandra cuspidata		457836,40	8654386,31	50	23		
24	404-24	Lupuna colorada	Cavanillesia hylogeiton		457836,82	8654386,82	140	25		
25	404-25	Moena	Aniba amazonica		457836,82	8654386,82	40	23		
26	404-26	Renaco	Ficus trigona		457850,93	8654391,17	130	25		
27	404-27	Charichuelo	Rheedia brasiliensis		457850,93	8654391,17	25	20		
28	404-28	Cedro	Cedrela odorata		457873,11	8654391,40	45	20		
29	404-29	Requia	Guarea guidonia		457883,60	8654395,92	50	23		
30	404-30	Shimbillo	Inga longipes		457891,43	8654392,09	25	28		
31	404-31	Pashaco	Schizolobium amazonicum		457891,43	8654392,09	25	20		
32	404-32	Moena	Aniba amazonica		457877,69	8654395,47	45	23		
33	404-33	Renaco	Ficus trigona		457859,58	8654378,48	120	21		
34	404-34	Caimito	Pouteria caimito		457859,58	8654378,48	30	21		
35	404-35	Caimito	Pouteria caimito		457859,58	8654378,48	35	21		
36	404-36	Bolaina	Guazuma crinita		457860,93	8654362,10	40	18		
37	404-37	Caimito	Pouteria caimito		457849,00	8654355,00	25	20		
38	404-38	Renaco	Ficus trigona		457849,00	8654355,00	55	23		
39	404-39	Caimito	Pouteria caimito		457859,30	8654352,54	35	23		
40	404-40	Requia	Guarea guidonia		457859,30	8654352,54	35	22		
41	404-41	Pashaco	Schizolobium amazonicum		457861,50	8654354,63	80	21		
42	404-42	Manchinga	Brosimun alicastrum		457853,78	8654344,09	100	25		
43	404-43	Renaco	Ficus trigona		457853,78	8654344,09	100	27		
44	404-44	Renaco	Ficus trigona		457854,04	8654342,39	130	25		
45	404-45	Shimbillo	Inga longipes		457854,04	8654342,39	30	19		
46	404-46	Coloradillo	Licania oblogifolia		457854,04	8654342,39	25	21		
47	404-47	Renaco	Ficus trigona		457854,04	8654342,39	150	27		
48	404-48	Manchinga	Brosimun alicastrum		457852,65	8654334,33	150	25		
49	404-49	Ocuera	Oliganthes discolor		457855,46	8654322,17	90	23		
50	404-50	Chimicua	Pseudolmedia laevis		457855,46	8654322,17	30	18		
51	404-51	Shimbillo	Inga longipes		457855,46	8654322,17	40	23		
52	404-52	Manchinga	Brosimun alicastrum		457849,70	8654313,03	150	23		
53	404-53	Chimicua	Pseudolmedia laevis		457865,32	8654312,40	50	21		
54	404-54	Ocuera	Oliganthes discolor		457865,32	8654312,40	50	23		
55	404-55	Chimicua	Pseudolmedia laevis		457878,08	8654309,29	50	25		
56	404-56	Renaco	Ficus trigona		457879,03	8654316,22	180	27		
57	404-57	Ocuera	Oliganthes discolor		457883,20	8654341,05	150	25		
58	404-58	Manchinga	Brosimun alicastrum		457883,20	8654341,05	50	21		
59	404-59	Capirona	Calycophyllum spruceanum 		457886,80	8654358,53	110	25		
60	404-60	Shimbillo	Inga longipes		457886,80	8654358,53	40	20		
61	404-61	Yacuchapana	Terminalia oblonga		457875,13	8654352,99	35	20		
62	404-62	Shimbillo	Inga longipes		457800,66	8654298,56	35	19		
63	404-63	Moena	Aniba amazonica		457800,66	8654298,56	45	19		
64	403-1	Caimito	Pouteria caimito		457811,13	8654402,30	50	23		
65	403-2	Pashaco	Schizolobium amazonicum		457811,13	8654402,30	50	23		
66	403-3	Shimbillo	Inga longipes		457811,13	8654402,30	25	15		
67	403-4	Ocuera	Oliganthes discolor		457811,13	8654402,30	80	20		
68	403-5	Moena	Aniba amazonica		457811,13	8654402,30	60	20		
69	403-6	Moena	Aniba amazonica		457811,13	8654402,30	25	13		
70	403-7	Moena	Aniba amazonica		457797,69	8654437,93	30	22		
71	403-8	Requia	Guarea guidonia		457797,69	8654437,93	20	21		
72	403-9	Cetico	Cecropia multiflora		457797,69	8654437,93	25	20		
73	403-10	Shimbillo	Inga longipes		457797,69	8654437,93	30	21		
74	403-11	Bolaina	Guazuma crinita		457797,69	8654437,93	30	20		
75	403-12	Cetico	Cecropia multiflora		457794,54	8654447,03	40	22		
76	403-13	Moena	Aniba amazonica		457794,54	8654447,03	30	20		
77	403-14	Shimbillo	Inga longipes		457794,54	8654447,03	40	23		
78	403-15	Moena	Aniba amazonica		457792,90	8654449,51	30	19		
79	403-16	Shimbillo	Inga longipes		457792,90	8654449,51	45	22		
80	403-17	Shimbillo	Inga longipes		457792,90	8654449,51	25	20		
81	403-18	Pashaco	Schizolobium amazonicum		457794,09	8654449,97	60	23		
82	403-19	Pashaco	Schizolobium amazonicum		457809,24	8654458,65	60	20		
83	403-20	Bolaina	Guazuma crinita		457809,24	8654458,65	40	19		
84	403-21	Peine de mono	Apeiba membranacea		457809,24	8654458,65	40	17		
85	403-22	Peine de mono	Apeiba membranacea		457809,24	8654458,65	30	18		
86	403-23	Caimito	Pouteria caimito		457817,26	8654495,92	50	22		
87	403-24	Caimito	Pouteria caimito		457817,26	8654495,92	30	22		
88	403-25	Caimito	Pouteria caimito		457817,26	8654495,92	30	20		
89	403-26	Misa	Couratari guianensis		457817,26	8654495,92	40	22		
90	403-27	Moena	Aniba amazonica		457817,26	8654495,92	40	22		
91	403-28	Peine de mono	Apeiba membranacea		457819,02	8654492,60	45	21		
92	403-29	Caimito	Pouteria caimito		457835,39	8654481,37	40	20		
93	403-30	Caimito	Pouteria caimito		457835,39	8654481,37	25	20		
94	403-31	Caimito	Pouteria caimito		457844,70	8654501,67	25	18		
95	403-32	Caimito	Pouteria caimito		457844,70	8654501,67	20	15		
96	403-33	Caimito	Pouteria caimito		457844,70	8654501,67	60	23		
97	403-34	Caimito	Pouteria caimito		457844,70	8654501,67	40	23		
98	403-35	Shimbillo	Inga longipes		457844,70	8654501,67	35	21		
99	403-36	Moena	Aniba amazonica		457850,17	8654496,85	40	19		
